"","CWRU004174_S1","CWRU004175_S2","CWRU004176_S3","CWRU004177_S4","CWRU004178_S5","CWRU004179_S6","CWRU004180_S7","CWRU004181_S8","CWRU004182_S9","CWRU004183_S10","CWRU004184_S11","CWRU004185_S12","CWRU004186_S13","CWRU004187_S14"
"AT1G02130",192,207,483,194,280,325,610,296,504,207,235,121,487,456
"AT1G02140",341,420,951,411,472,615,1222,700,1012,376,433,221,902,794
"AT1G02145",75,85,227,119,121,199,350,190,268,103,107,46,285,251
"AT1G02150",265,332,592,371,410,506,930,533,756,306,308,218,587,611
"AT1G02160",34,49,147,58,58,90,154,87,127,39,46,30,116,111
"AT1G02170",103,85,237,117,137,136,252,149,263,97,112,49,234,201
"AT1G02180",11,11,50,17,18,25,39,23,60,22,19,10,42,54
"AT1G02190",0,0,1,0,1,1,0,1,0,0,0,0,0,0
"AT1G02205",144,151,527,192,242,316,602,497,462,220,118,63,715,533
"AT1G02210",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02220",5,13,64,13,15,35,34,19,31,23,13,0,50,21
"AT1G02230",2,1,6,2,10,1,4,8,9,2,3,0,5,6
"AT1G02250",0,1,1,0,0,0,0,1,0,0,0,0,0,1
"AT1G02260",49,61,226,58,115,140,273,156,174,80,73,41,291,192
"AT1G02270",74,68,211,92,122,145,249,120,192,105,67,41,240,176
"AT1G02280",277,338,595,358,403,542,822,601,998,353,366,189,617,714
"AT1G02290",49,64,136,65,82,132,218,111,179,56,67,49,148,142
"AT1G02300",123,122,302,122,168,237,442,228,252,127,134,77,339,311
"AT1G02305",1356,1092,2345,1289,1742,1597,3573,1517,2262,1023,1280,810,2288,2299
"AT1G02310",3,0,3,7,2,1,6,2,2,2,1,0,6,3
"AT1G02320",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02330",81,72,203,76,106,135,267,190,223,83,99,45,195,200
"AT1G02335",35,32,44,40,16,63,49,45,110,23,25,16,52,51
"AT1G02340",1966,1551,4491,1686,2662,3172,7347,2783,4490,1947,1693,964,4352,4033
"AT1G02350",2,4,12,2,10,11,26,14,16,3,7,0,6,16
"AT1G02360",11,20,83,12,24,43,49,49,48,17,12,6,74,43
"AT1G02370",20,29,73,40,33,57,84,55,72,22,21,17,60,60
"AT1G02380",27,15,75,32,34,46,100,38,64,28,42,28,72,61
"AT1G02390",6,1,22,11,9,28,54,20,45,9,8,7,25,24
"AT1G02400",48,47,138,54,71,138,208,99,180,71,52,19,209,134
"AT1G02405",1,0,2,1,1,1,4,3,1,0,1,1,4,2
"AT1G02410",46,39,114,41,61,83,134,88,138,42,49,19,115,97
"AT1G02420",20,18,63,11,31,34,60,44,45,19,17,8,46,40
"AT1G02430",0,1,0,0,0,0,1,0,2,0,1,0,0,0
"AT1G02440",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"AT1G02450",0,0,0,0,0,0,3,1,0,0,0,0,0,0
"AT1G02460",1,4,1,2,1,1,2,2,4,2,2,2,2,2
"AT1G02470",182,101,387,150,271,244,426,209,386,116,148,76,359,372
"AT1G02475",101,71,198,102,150,138,278,140,256,80,93,44,195,186
"AT1G02480",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02490",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02500",1924,1753,4895,2255,2270,3304,6653,3813,5662,2213,2119,1007,4590,4515
"AT1G02510",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02520",10,24,55,22,27,33,76,43,65,25,22,8,74,47
"AT1G02530",0,0,1,0,0,2,1,3,0,1,0,0,2,1
"AT1G02540",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02550",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02560",716,591,1531,669,987,890,1839,1034,1517,633,672,329,1416,1369
"AT1G02570",1,3,5,3,7,5,10,3,10,0,3,1,15,3
"AT1G02575",0,0,0,0,2,0,1,0,5,0,0,0,3,0
"AT1G02580",4,1,14,6,2,1,15,2,1,4,2,5,5,7
"AT1G02590",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02600",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02610",166,137,269,173,229,153,379,161,267,124,157,127,311,281
"AT1G02620",9,9,15,13,10,7,23,7,10,7,13,8,16,15
"AT1G02630",6,4,9,3,2,3,5,4,8,3,1,2,10,10
"AT1G02640",551,430,877,406,748,701,1479,666,1290,507,532,196,866,969
"AT1G02650",20,16,54,17,31,24,78,13,37,19,32,16,47,33
"AT1G02660",961,552,1499,767,1344,844,2018,855,1200,587,739,528,1471,1418
"AT1G02670",30,16,50,31,36,14,56,20,33,12,17,21,40,42
"AT1G02680",55,49,120,61,68,79,158,90,103,55,58,36,115,127
"AT1G02690",28,43,88,52,58,66,117,81,121,42,58,17,90,82
"AT1G02700",5,2,3,3,4,4,6,1,2,4,4,3,7,1
"AT1G02705",1,0,0,2,0,2,0,0,0,0,0,0,0,1
"AT1G02710",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02720",21,21,45,21,21,32,63,47,75,26,20,8,61,39
"AT1G02730",79,130,239,91,70,242,314,296,413,106,105,46,218,233
"AT1G02740",25,38,73,55,47,76,127,71,108,19,33,24,99,89
"AT1G02750",70,80,200,77,131,140,310,133,212,80,102,47,238,216
"AT1G02760",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02770",5,5,22,5,9,2,20,15,15,5,3,5,16,6
"AT1G02780",1574,1867,3996,1975,2369,3206,5434,3562,5193,1836,1961,986,3750,4009
"AT1G02790",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AT1G02800",0,4,5,5,1,4,5,9,18,5,0,2,8,1
"AT1G02810",6,15,50,10,14,22,32,34,47,11,9,3,54,35
"AT1G02813",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AT1G02816",148,107,274,136,201,185,381,174,298,127,141,79,336,269
"AT1G02820",2,4,18,4,4,12,14,10,24,7,7,4,14,11
"AT1G02830",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AT1G02840",783,1058,2445,967,1453,1595,2768,1725,2286,866,1081,643,2518,2352
"AT1G02850",376,239,656,277,500,404,857,434,584,229,282,187,632,577
"AT1G02860",302,205,610,234,450,326,745,280,432,218,265,162,618,501
"AT1G02870",53,70,171,72,89,115,199,159,202,73,81,43,154,153
"AT1G02880",53,60,190,50,59,119,194,112,136,70,51,22,170,134
"AT1G02890",640,628,1630,697,873,1092,2178,1091,1821,653,673,406,1542,1486
"AT1G02900",16,22,106,21,48,49,93,56,71,29,22,7,94,61
"AT1G02910",121,97,244,118,145,163,327,199,272,119,99,60,251,244
"AT1G02920",41.01,39,556.17,31,75.12,116,149.09,109,94.68,50,25,26.53,164,97
"AT1G02930",36.99,21,392.83,57,61.88,87,121.91,50,51.32,41,41,31.47,108,84
"AT1G02940",0,0,1,0,0,2,0,0,1,0,0,0,0,0
"AT1G02950",7,18,17,10,14,25,16,17,36,17,15,19,15,18
"AT1G02952",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02960",117,130,343,133,174,221,489,228,318,124,145,78,366,325
"AT1G02965",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02970",2,6,13,7,11,22,36,22,32,11,7,6,20,28
"AT1G02980",0,0,0,0,0,0,0,1,0,1,1,0,1,1
"AT1G02990",151,142,455,179,213,293,575,277,437,187,152,84,447,384
"AT1G03000",131,154,359,161,229,272,521,287,361,175,161,84,414,370
"AT1G03010",55,46,146,66,105,72,142,88,108,62,56,41,133,88
"AT1G03020",0,0,0,1,0,2,0,3,2,0,0,1,0,1
"AT1G03030",58,50,148,64,80,116,146,114,122,65,55,29,164,95
"AT1G03040",151,172,443,181,240,279,484,315,426,177,179,109,402,382
"AT1G03050",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03055",0,0,1,5,1,3,2,0,1,0,1,0,2,2
"AT1G03060",799,668,2120,811,1223,1681,2908,1673,2134,892,820,422,2513,2084
"AT1G03070",2,2,4,2,2,8,2,4,4,1,1,2,2,0
"AT1G03080",1289,1023,2979,1173,1930,1972,3977,1863,2817,1265,1136,718,3262,2771
"AT1G03090",3439,2832,5920,3356,5609,3312,9220,3333,4711,2474,3881,2258,5338,6090
"AT1G03100",5,4,28,16,13,9,16,22,31,9,11,5,15,16
"AT1G03103",0,0,1,0,1,3,0,2,2,0,0,0,2,1
"AT1G03106",1,1,3,2,2,2,1,0,1,2,4,4,3,0
"AT1G03110",23,48,93,41,31,62,88,58,99,29,23,12,84,78
"AT1G03120",2,1,2,3,3,3,3,4,2,1,1,1,3,3
"AT1G03130",451,404,735,436,498,466,1059,547,921,400,478,276,669,774
"AT1G03140",273,283,552,307,379,382,873,454,621,261,323,189,567,591
"AT1G03150",57,57,161,57,88,98,164,97,105,58,54,43,127,116
"AT1G03160",231,198,492,223,336,415,884,401,562,202,216,145,617,553
"AT1G03165",0,0,5,3,1,8,7,9,1,4,0,2,4,6
"AT1G03170",11,9,63,14,26,47,56,35,42,16,19,10,69,66
"AT1G03180",9,12,29,15,9,19,18,23,16,10,7,4,22,11
"AT1G03190",56,51,140,36,91,106,169,117,163,54,63,34,185,136
"AT1G03200",26,26,78,25,63,51,79,58,61,35,26,11,89,74
"AT1G03210",76,100,357,107,148,174,386,177,232,92,130,57,307,238
"AT1G03220",319,234,1000.74,301,524,375,846,514,663.52,274,239,166,832,660
"AT1G03230",61,66,148.26,76,76,103,159,114,204.48,60,56,31,154,137
"AT1G03240",0,0,0,1,0,1,0,1,2,1,0,0,1,0
"AT1G03250",60,67,154,77,87,110,199,115,189,61,59,42,141,173
"AT1G03260",27,37,111,46,48,108,190,83,132,35,42,23,144,134
"AT1G03270",7,4,14,7,13,9,17,17,14,7,5,4,23,10
"AT1G03280",122,89,292,129,161,210,373,186,336,156,125,68,298,263
"AT1G03290",333,330,742,358,521,432,973,475,698,281,366,208,744,681
"AT1G03300",35,26,74,55,46,56,116,66,76,35,33,14,77,66
"AT1G03310",62,98,196,94,102,180,327,179,286,118,102,42,234,201
"AT1G03320",0,0,1,0,1,1,4,0,0,0,1,0,3,2
"AT1G03325",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03330",78,75,181,82,110,112,239,151,223,70,101,50,173,190
"AT1G03340",10,13,31,7,13,21,24,22,28,20,12,3,37,24
"AT1G03350",304,274,736,323,386,489,1033,526,712,287,292,155,763,681
"AT1G03360",33,35,67,42,32,46,80,53,97,20,23,13,54,65
"AT1G03365",100,111,230,132,160,194,388,216,281,116,107,77,279,269
"AT1G03370",140,158,424,128,230,271,470,245,336,145,129,93,478,345
"AT1G03380",673,738,1636,678,953,1017,2051,1117,1622,662,727,423,1699,1549
"AT1G03390",0,0,6,0,2,1,0,0,0,0,0,1,1,0
"AT1G03395",0,0,0,0,1,0,0,0,2,0,0,0,1,0
"AT1G03400",59,66,174,79,102,107,226,93,132,53,93,60,133,154
"AT1G03410",92,97,278,104,147,140,306,153,193,91,95,87,247,221
"AT1G03430",43,52,138,50,74,107,174,97,150,41,42,32,155,120
"AT1G03440",51,53,136,58,93,88,194,102,129,63,57,39,154,116
"AT1G03445",1,0,2,1,2,0,2,6,0,1,3,0,5,0
"AT1G03457",124,110,244,98,180,157,329,152,241,108,115,87,259,228
"AT1G03470",80,85,192,85,134,107,316,124,187,76,106,69,205,212
"AT1G03475",190,219,522,250,302,386,697,392,661,227,229,131,472,528
"AT1G03490",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03495",0,0,0,0,0,0,0,0,2.84,0,0,0,0,0
"AT1G03502",1,1,0,0,3,2,1,0,0,2,0,0,0,1
"AT1G03506",0,0,0,0,1,1,4,0,2,0,0,0,0,2
"AT1G03510",4,5,13,4,7,6,26,14,20,7,10,6,10,13
"AT1G03515",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03520",121,132,359,149,212,193,501,213,295,110,152,88,359,259
"AT1G03530",24,39,77,44,45,68,99,68,71,39,48,22,77,77
"AT1G03540",9,7,21,15,19,16,35,13,24,12,8,7,23,23
"AT1G03545",10,12,26,4,5,15,21,18,9,5,9,2,20,17
"AT1G03550",67,64,223,68,131,124,350,146,188,77,57,47,195,188
"AT1G03560",27,28,72,38,47,59,115,68,85,30,48,24,77,56
"AT1G03570",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03590",409,332,856,395,513,562,1394,535,790,344,395,246,754,806
"AT1G03600",403,440,942,452,711,615,1337,659,916,358,507,272,758,920
"AT1G03610",597,640,1345,606,835,792,1629,708,1151,479,659,471,1138,1169
"AT1G03620",42,33,91,43,47,47,73,50,83,33,45,16,97,60
"AT1G03630",30,35,61,29,26,79,109,79,149,40,44,11,69,52
"AT1G03640",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03650",5,10,37,8,12,13,33,9,27,9,10,5,26,19
"AT1G03660",1,5,7,0,6,10,9,4,7,0,1,2,10,12
"AT1G03670",6,2,1,1,14,4,5,6,4,2,4,5,6,6
"AT1G03680",199,196,448,235,281,306,681,288,523,182,244,138,374,446
"AT1G03687",22,38,75,31,39,43,105,69,95,30,28,16,79,79
"AT1G03700",0,1,4,0,2,2,4,3,1,0,0,0,0,0
"AT1G03710",0,2,0,0,0,1,2,2,0,0,0,1,1,0
"AT1G03720",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03730",16,13,49,23,25,28,45,30,49,15,14,8,49,38
"AT1G03740",170,164,592,169,258,329,620,341,416,193,164,104,570,492
"AT1G03743",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03746",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03750",46,45,115,51,82,104,205,101,153,75,72,25,141,129
"AT1G03760",69,124,207,92,119,92,218,159,208,58,98,79,192,201
"AT1G03770",47,50,102,47,46,74,119,77,124,54,55,39,93,75
"AT1G03780",36,36,87,26,21,72,77,101,166,40,37,15,50,93
"AT1G03790",36,38,56,48,47,30,65,49,65,10,29,29,69,64
"AT1G03800",5,5,4,6,12,7,6,2,10,3,3,3,12,6
"AT1G03810",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AT1G03820",25,26,60,29,33,46,59,60,100,25,30,17,38,45
"AT1G03830",17,29,84,42,26,58,87,66,93,30,25,20,85,87
"AT1G03840",4,5,9,7,1,4,9,12,15,5,2,3,10,10
"AT1G03850",92,98,372,66,167,132,270,170,174,68,82,56,286,232
"AT1G03860",137,175,489,214,232,314,608,360,492,157,226,115,421,453
"AT1G03870",2219,2088,6440,2405,3447,5724,12183,4370,7877,3094,2453,1120,6775,6935
"AT1G03880",1,0,1,0,2,0,4,0,3,0,2,5,2,0
"AT1G03890",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"AT1G03900",472,455,1186,545,741,782,1680,887,1311,479,505,305,1132,1137
"AT1G03905",17,13,51,19,22,20,51,28,33,7,9,5,53,37
"AT1G03910",211,265,512,314,343,378,752,461,646,263,284,154,504,530
"AT1G03920",10,11,33,10,14,15,33,8,21,8,11,3,29,39
"AT1G03930",166,151,448,203,259,313,718,331,445,198,192,91,569,428
"AT1G03935",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AT1G03940",0,0,1,1,1,0,2,1,2.16,1,1,0,4,2
"AT1G03950",32,44,109,33,64,64,166,78,101,36,35,16,110,95
"AT1G03960",45,30,117,35,51,89,138,73,99,38,46,27,104,83
"AT1G03970",117,120,276,135,172,174,358,167,279,119,125,99,272,249
"AT1G03980",1,0,2,1,0,1,1,2,3,1,0,0,0,2
"AT1G03982",0,0,1,2,1,1,0,0,0,0,0,0,2,4
"AT1G03987",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03990",1,1,0,0,1,0,0,0,0,0,1,0,0,1
"AT1G03993",0,1,3,0,0,0,0,0,0,0,0,0,1,0
"AT1G03997",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AT1G04000",28,24,65,28,38,51,81,45,50,21,33,15,56,54
"AT1G04003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04007",0,4,1,0,1,7,4,3,6,2,0,2,3,5
"AT1G04010",30,39,87,46,62,76,146,104,157,53,54,17,121,116
"AT1G04013",0,0,1,1,2,0,0,0,0,0,0,0,0,0
"AT1G04017",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04020",18,25,33,21,17,52,63,49,57,20,12,7,59,52
"AT1G04023",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04027",0,0,1,1,2,2,0,1,1,0,0,0,0,1
"AT1G04030",32,34,92,24,23,70,133,72,100,54,42,9,88,82
"AT1G04033",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT1G04037",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT1G04040",364,405,1234,422,525,987,1966,1022,1583,594,376,130,1502,1189
"AT1G04043",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"AT1G04047",4,6,18,2,4,9,13,9,11,4,1,4,14,16
"AT1G04050",20,11,62,33,33,58,74,73,69,25,11,15,88,55
"AT1G04053",13,4,21,8,6,11,18,17,15,8,5,5,10,23
"AT1G04057",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04063",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04067",0,0,3,1,0,2,2,3,3,1,1,0,0,3
"AT1G04070",13,11,37,13,10,19,48,31,38,14,14,8,37,38
"AT1G04073",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04077",1,1,2,1,4,2,6,6,4,4,0,0,3,6
"AT1G04080",342,361,1053,400,592,773,1347,782,1072,406,439,258,1125,1014
"AT1G04083",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04087",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04090",5,5,12,3,5,10,20,7,13,3,2,2,21,12
"AT1G04093",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04097",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04100",8,7,22,7,15,8,34,9,36,11,9,9,39,33
"AT1G04103",0,0,1,1,0,1,7,0,5,0,2,1,1,4
"AT1G04105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04110",2,3,12,1,5,11,5,8,11,1,0,0,3,6
"AT1G04117",0,0,0,0,0,0,0,0,0,1,0,0,0,1
